Designator,Footprint,Quantity,Value,
"C1, C17",0805,2,22u,
"C10, C2, C29, C38, C39, C7, C8",0603,7,10u,
"C11, C12, C14, C15, C3, C31, C32, C36, C37, C4, C6, C9",0402,12,100n,
C13,0603,1,4.7u,
"C16, C18, C30",0603,3,1u,
"C19, C20, C21, C22, C23, C24, C25, C26",0402,8,1n,
"C27, C28",0402,2,3.3p,
"C33, C34",0402,2,12p,
C5,CP_Radial_D5.0mm_P2.50mm,1,250u,
D1,0805,1,LED,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,
J5,microSD_HC_Hirose_DM3D-SF,1,SD_Card,
J8,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,AudioJack3,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,SolderJumper_2_Bridged,
"L1, L2, L4",0603,3,2.2n,
"R1, R13",0402,2,10k,
R14,0805,1,10,
R3,0402,1,1k,
"R5, R8, R9",0402,3,4.7k,
"R6, R7",0402,2,5.1k,
"RV1, RV2",Potentiometer_Bourns_3214J_Horizontal,2,10k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,Reset,
SW2,SW_Push_SPST_NO_Alps_SKRK,1,Boot,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.0mm,8,TestPoint,
U1,SOT-223-3_TabPin2,1,AZ1117IH-3.3,
U2,TSSOP-16_4.4x5mm_P0.65mm,1,AD5689BRUZ,
U3,SOT-666,1,USBLC6-2P6,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,LM386,
U5,TSSOP-38_4.4x9.7mm_P0.5mm,1,ADS8688,
U6,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S3FH4R2,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,
