Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C16, C21, C26, C6",0805,6,0.1u,
"C10, C15, C2, C20, C25, C30",CP_Radial_D7.5mm_P2.50mm,6,100u,
"C12, C13, C17, C18, C22, C23, C27, C28, C3, C4, C7, C8",0805,12,10u,
"C14, C19, C24, C29, C5, C9",0805,6,0.047u,
"C31, C32, C33, C34, C35, C36",0805,6,5n,
J1,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10_Pin,
"MK1, MK2, MK3, MK4, MK5, MK6",Mikrophoni1,6,Microphone_Condenser,
"R1, R10, R13, R16, R4, R7",0805,6,10k,
"R11, R14, R17, R2, R5, R8",0805,6,3k,
"R12, R15, R18, R3, R6, R9",0805,6,10,
"U1, U2, U3, U4, U5, U6",DIP-8_W7.62mm,6,LM386,
